mechanism,eps,time
LaplaceMechanism,0.099,10
NoisyHist1,0.098,37
NoisyHist2,4.604,37
LaplaceParallel,0.035,60
ReportNoisyMax1,0.092,22
ReportNoisyMax2,0.098,19
ReportNoisyMax3,0.249,23
ReportNoisyMax4,0.351,20
SparseVectorTechnique1,0.086,60
SparseVectorTechnique2,0.086,120
SparseVectorTechnique3,0.174,120
SparseVectorTechnique4,0.169,60
SparseVectorTechnique5,1.762,42
SparseVectorTechnique6,0.272,59
SVT34Parallel,0.268,180
NumericalSVT,0.035,120
PrefixSum,0.503,60
OneTimeRAPPOR,0.600,60
Rappor,0.299,120
TruncatedGeometric,0.116,10
